timestamp,setup_id,ea_version,symbol,timeframe,direction,bid,ask,spread_points,bar_time,breakout_level,lookback_bars,mindset,filter_decision,filter_reason,did_enter
2025.07.07 22:05:41,XAUUSDg_PERIOD_M5_20250707_2205_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3341.66,3342.49,65,2025.07.07 22:05,3341.45,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.07 22:06:05,XAUUSDg_PERIOD_M5_20250707_2205_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3343.57,3344.32,84,2025.07.07 22:05,3341.45,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.08 14:10:34,XAUUSDg_PERIOD_M5_20250708_1410_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3307.35,3308.01,76,2025.07.08 14:10,3307.36,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.08 14:14:48,XAUUSDg_PERIOD_M5_20250708_1410_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3305.51,3306.02,50,2025.07.08 14:10,3307.36,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.08 14:23:04,XAUUSDg_PERIOD_M5_20250708_1420_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3302.97,3303.57,64,2025.07.08 14:20,3304.51,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.08 14:24:09,XAUUSDg_PERIOD_M5_20250708_1420_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3301.89,3302.57,62,2025.07.08 14:20,3304.51,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.08 14:37:08,XAUUSDg_PERIOD_M5_20250708_1435_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3299.99,3300.60,62,2025.07.08 14:35,3300.30,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.08 14:37:36,XAUUSDg_PERIOD_M5_20250708_1435_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3297.16,3297.75,62,2025.07.08 14:35,3300.30,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.08 14:43:04,XAUUSDg_PERIOD_M5_20250708_1440_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3295.64,3296.21,46,2025.07.08 14:40,3296.84,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.08 15:08:09,XAUUSDg_PERIOD_M5_20250708_1505_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3293.93,3294.16,38,2025.07.08 15:05,3294.05,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.08 15:08:59,XAUUSDg_PERIOD_M5_20250708_1505_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3291.36,3292.00,57,2025.07.08 15:05,3294.05,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.08 15:11:31,XAUUSDg_PERIOD_M5_20250708_1510_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3288.20,3288.85,64,2025.07.08 15:10,3291.03,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.09 03:01:13,XAUUSDg_PERIOD_M5_20250709_0300_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3286.20,3286.89,65,2025.07.09 03:00,3286.32,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.09 08:37:23,XAUUSDg_PERIOD_M5_20250709_0835_SELL_888999,fix4,XAUUSDg,PERIOD_M5,SELL,3283.32,3283.85,57,2025.07.09 08:35,3284.20,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.09 19:36:43,XAUUSDg_PERIOD_M5_20250709_1935_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3316.26,3316.60,54,2025.07.09 19:35,3316.60,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
2025.07.09 22:16:59,XAUUSDg_PERIOD_M5_20250709_2215_BUY_888999,fix4,XAUUSDg,PERIOD_M5,BUY,3318.59,3319.15,57,2025.07.09 22:15,3317.43,48,READY_TO_BREAKOUT,ALLOWED,breakout_market,1
