date,time,dir,rsi,close,sl_pts,tp_pts,risk_usd,reward_usd,pnl,result,equity,daily_pnl
2026-01-21,14:27,LONG,23.7,4818.38,13.75,11.46,25.0,20.83,-25.0,LOSS,50308.33,-25.0
2026-01-21,14:31,LONG,24.8,4804.76,24.66,20.55,25.0,20.83,-25.0,LOSS,50283.33,-50.0
2026-01-21,14:37,LONG,18.5,4776.86,37.98,31.65,25.0,20.83,20.83,WIN,50304.17,-29.17
2026-01-22,14:07,SHORT,71.6,4922.96,6.38,5.32,25.0,20.83,20.83,WIN,50325.0,20.83
2026-01-23,14:53,SHORT,71.3,4987.31,5.49,4.58,25.0,20.83,20.83,WIN,50345.83,20.83
2026-01-26,14:02,LONG,28.8,5047.34,16.21,13.51,25.0,20.83,20.83,WIN,50366.67,20.83
2026-01-26,14:22,LONG,27.2,5024.85,20.63,17.19,25.0,20.83,20.83,WIN,50387.5,41.67
2026-01-27,14:55,SHORT,71.8,5098.52,5.04,4.2,25.0,20.83,-25.0,LOSS,50362.5,-25.0
2026-02-02,14:42,SHORT,71.7,4692.1,24.18,20.15,25.0,20.83,-25.0,LOSS,50337.5,-25.0
2026-02-09,14:30,SHORT,70.6,5076.69,4.85,4.04,25.0,20.83,20.83,WIN,50358.33,20.83
2026-02-10,14:31,SHORT,73.2,5029.1,6.43,5.36,25.0,20.83,20.83,WIN,50379.17,20.83
2026-02-13,14:07,SHORT,71.6,5044.06,9.14,7.62,25.0,20.83,20.83,WIN,50400.0,20.83
2026-02-13,14:59,LONG,27.9,5023.28,7.16,5.97,25.0,20.83,-25.0,LOSS,50375.0,-4.17
2026-02-18,14:27,LONG,28.3,4975.08,10.15,8.46,25.0,20.83,20.83,WIN,50395.83,20.83
2026-02-25,14:06,LONG,29.6,5198.27,4.71,3.92,25.0,20.83,-25.0,LOSS,50370.83,-25.0
2026-02-27,14:02,SHORT,70.3,5249.4,6.38,5.32,25.0,20.83,20.83,WIN,50391.67,20.83
2026-03-02,14:08,SHORT,71.9,5328.16,8.94,7.45,25.0,20.83,20.83,WIN,50412.5,20.83
2026-03-03,14:03,SHORT,71.3,5146.19,14.08,11.73,25.0,20.83,20.83,WIN,50433.33,20.83
2026-03-06,14:16,SHORT,71.0,5173.35,7.39,6.16,25.0,20.83,20.83,WIN,50454.17,20.83
2026-03-09,14:00,SHORT,70.2,5125.54,7.79,6.49,25.0,20.83,20.83,WIN,50475.0,20.83
2026-03-09,14:20,SHORT,71.0,5136.89,9.25,7.71,25.0,20.83,20.83,WIN,50495.83,41.67
2026-03-12,14:02,LONG,27.6,5085.7,9.06,7.55,25.0,20.83,20.83,WIN,50516.67,20.83
2026-03-13,14:50,LONG,24.7,5010.6,10.74,8.95,25.0,20.83,20.83,WIN,50537.5,20.83
2026-03-18,14:00,LONG,26.0,4850.23,13.65,11.37,25.0,20.83,20.83,WIN,50558.33,20.83
2026-03-19,14:00,SHORT,73.0,4635.98,13.36,11.13,25.0,20.83,-25.0,LOSS,50533.33,-25.0
2026-03-19,14:08,SHORT,71.4,4655.48,25.72,21.44,25.0,20.83,20.83,WIN,50554.17,-4.17
2026-03-23,14:16,LONG,26.8,4399.69,23.93,19.94,25.0,20.83,20.83,WIN,50575.0,20.83
2026-03-25,14:08,LONG,25.6,4516.31,15.97,13.31,25.0,20.83,-25.0,LOSS,50550.0,-25.0
2026-03-25,14:11,LONG,16.1,4489.2,20.11,16.76,25.0,20.83,20.83,WIN,50570.83,-4.17
2026-03-26,14:54,LONG,29.7,4364.22,11.09,9.24,25.0,20.83,20.83,WIN,50591.67,20.83
2026-03-30,14:59,LONG,28.1,4498.84,8.84,7.36,25.0,20.83,20.83,WIN,50612.5,20.83
2026-04-01,14:03,LONG,23.1,4761.72,9.89,8.24,25.0,20.83,20.83,WIN,50633.33,20.83
2026-04-01,14:21,LONG,29.3,4756.22,9.76,8.13,25.0,20.83,-25.0,LOSS,50608.33,-4.17
2026-04-01,14:37,LONG,27.9,4743.96,11.96,9.97,25.0,20.83,20.83,WIN,50629.17,16.67
2026-04-07,14:52,LONG,27.4,4665.51,8.23,6.86,25.0,20.83,-25.0,LOSS,50604.17,-25.0
2026-04-08,14:18,LONG,28.9,4725.26,11.47,9.56,25.0,20.83,-25.0,LOSS,50579.17,-25.0
2026-04-08,14:41,LONG,29.4,4713.19,8.91,7.42,25.0,20.83,-25.0,LOSS,50554.17,-50.0
